on x=-30..22,y=-28..20,z=-17..37
on x=-91660..-67049,y=7713..17902,z=3072..13054
on x=-85843..-75822,y=-13426..-1068,z=-3611..9850
on x=-77282..-50211,y=-62845..-44261,z=-4850..18557
on x=-45236..-25337,y=-29264..-11734,z=57883..77720
on x=7852..26069,y=-33579..-7255,z=61383..84444
on x=16317..38558,y=-60711..-41717,z=39615..64400
on x=30476..43102,y=-82832..-61709,z=-41450..-21838
on x=-9612..16076,y=-14442..11604,z=70604..91211
on x=-48572..-31079,y=-34887..-8167,z=63671..75175
on x=63393..86039,y=-42490..-27126,z=7423..27287
on x=-17449..-8611,y=39525..70794,z=52296..66870
on x=72158..88061,y=19123..41184,z=-8343..19698
on x=-96548..-65490,y=-4225..12743,z=8850..20917
on x=11183..19544,y=-26965..-129,z=74155..93055
on x=27394..34687,y=51911..77346,z=-49255..-32213
on x=13747..29784,y=52260..58865,z=32786..52789
on x=7209..39495,y=-17785..-13424,z=61081..92302
on x=54905..90041,y=14123..22682,z=-33223..-25404
on x=14139..32917,y=56160..82823,z=19620..32310
on x=57234..80624,y=34435..52401,z=26565..44967
on x=-35906..-29471,y=49909..80553,z=18196..32802
on x=48244..73712,y=-44598..-27597,z=29419..43297
on x=-15737..8516,y=4104..14826,z=-80111..-69809
on x=42565..67567,y=42991..67836,z=11086..41174
on x=-66218..-46823,y=-59154..-33049,z=18190..42855
on x=-29477..-18189,y=71750..90514,z=14376..40641
on x=17269..34352,y=7923..29575,z=64831..92299
on x=19759..42044,y=58028..82009,z=-45985..-24212
on x=64986..94412,y=-21979..382,z=-26060..3375
on x=-82922..-67762,y=-31988..1227,z=28575..48960
on x=-77202..-60066,y=-1726..17359,z=39764..55574
on x=-42079..-19548,y=60152..83949,z=-30764..-2236
on x=65950..84977,y=-2983..24310,z=6382..25306
on x=-7025..20698,y=-59431..-47553,z=46269..72441
on x=33460..50388,y=23088..37712,z=-63747..-39520
on x=39632..56841,y=52733..66317,z=12779..30482
on x=20834..29939,y=-82996..-63153,z=6325..37483
on x=-39576..-17913,y=-81035..-69182,z=17044..38498
on x=-94741..-55796,y=-46605..-7095,z=-11329..11733
on x=-32042..-5392,y=63713..81457,z=-48861..-23155
on x=25439..40598,y=-58904..-34002,z=33924..62113
on x=32525..54659,y=-32606..-6211,z=-79674..-51108
on x=55580..81087,y=18578..41790,z=24755..50750
on x=23138..35244,y=-67388..-51230,z=-51350..-40920
on x=-29726..-24566,y=34696..44225,z=47381..67473
on x=36127..50824,y=-6045..23850,z=-84717..-48694
on x=-80843..-61933,y=2541..23283,z=-40785..-8729
on x=-1534..11876,y=56320..85526,z=27682..44008
on x=-14780..3587,y=61253..79725,z=-10694..8337
on x=-45311..-16204,y=24021..42379,z=-63421..-59418
on x=-9027..25792,y=58213..70790,z=40813..47475
on x=-29184..-14478,y=-40502..-11383,z=-72007..-56689
on x=-63368..-36240,y=45929..57556,z=-58187..-35802
on x=-2219..18602,y=53896..79373,z=-53326..-39986
on x=14803..41716,y=50393..83793,z=-36971..-15892
on x=-28226..-12349,y=-92866..-56981,z=18268..38845
on x=-70565..-51262,y=-29712..-9331,z=39871..64833
on x=46180..74044,y=17675..32447,z=32792..53481
on x=46304..68714,y=-63244..-50490,z=-12722..271
on x=-30717..-19569,y=-86322..-66741,z=7356..22789
on x=25423..28225,y=-69424..-43608,z=33098..53575
on x=64259..70261,y=-50479..-24523,z=658..16569
on x=37138..67575,y=17493..41624,z=-69291..-45361
on x=31797..65878,y=-21767..-14605,z=47370..63212
on x=-31070..-19250,y=-71910..-55436,z=-54500..-42292
on x=39950..58830,y=-72833..-54574,z=-25745..-1296
on x=-88042..-66280,y=-6867..20176,z=-53917..-35948
on x=8387..18636,y=-89694..-74113,z=-2916..24674
on x=-11768..3522,y=27472..54172,z=-75656..-62735
on x=-20326..6536,y=-89369..-61693,z=-29810..-15417
on x=-16240..3451,y=-85509..-67969,z=-33809..-15709
on x=75533..90140,y=-33560..-3409,z=-23686..13873
on x=-87039..-60991,y=-36923..-20686,z=-33295..773
on x=56585..87423,y=-41394..-20223,z=-324..26336
on x=-4545..18980,y=-17001..12938,z=-79317..-76322
on x=25788..43914,y=57078..85231,z=-39034..-19907
on x=-51690..-38989,y=-28685..-19679,z=-65572..-61020
on x=-94694..-61048,y=13451..18556,z=4804..15651
on x=40676..63945,y=-73311..-43763,z=-3069..18835
on x=-40589..-21346,y=14650..42432,z=-90311..-58982
on x=45057..77173,y=-36751..-23320,z=-51743..-34657
on x=47490..65623,y=-69184..-39543,z=21543..45057
on x=-9898..16115,y=67788..82624,z=13596..23860
on x=62330..85093,y=-21369..-18131,z=-49905..-16254
on x=-23931..1377,y=-44452..-21607,z=-91006..-64509
on x=-19685..1778,y=-63390..-53864,z=38527..51257
on x=-61379..-47017,y=17385..47888,z=-61668..-39213
on x=67034..92507,y=1454..25611,z=17175..30657
on x=15563..48502,y=57347..93610,z=-1976..12939
on x=-24422..2614,y=-71886..-53884,z=41177..46023
on x=20689..36727,y=55182..86944,z=18091..24138
on x=-38314..-29887,y=36256..38729,z=-68217..-59903
on x=16286..50727,y=-52516..-32609,z=46161..73005
on x=-77369..-65003,y=-33998..-15037,z=12697..49445
on x=72802..78829,y=21901..39652,z=-26423..6576
on x=-35480..-57,y=53554..75400,z=-29889..-27107
on x=46219..53948,y=-19601..8817,z=-79938..-45650
on x=-80255..-46766,y=50128..62666,z=-582..12127
on x=-91298..-71896,y=-2683..13474,z=-34111..-21456
on x=-35357..-15508,y=-22759..-6961,z=-85743..-66785
on x=39257..49801,y=-78207..-50192,z=17962..47924
on x=-31576..-4091,y=-92185..-75228,z=-6285..-3034
on x=35654..52748,y=-69290..-30839,z=-51694..-30806
on x=-1406..14243,y=76560..85085,z=-6839..14950
on x=3220..27908,y=41801..80336,z=43092..53362
on x=-55391..-45617,y=59811..65907,z=-38351..-7559
on x=52296..54426,y=21952..47589,z=29287..60731
on x=9353..26787,y=-54800..-31971,z=45126..62915
on x=-13033..7844,y=-54069..-36841,z=45996..73160
on x=-44937..-15629,y=-47649..-26024,z=46419..85007
on x=-28179..-46,y=65671..89005,z=20596..25313
on x=-19400..6599,y=58372..91659,z=-29461..-20793
on x=-20027..-14613,y=27615..49247,z=-75561..-65207
on x=-67938..-46917,y=-14851..7096,z=38521..61611
on x=-22459..-1993,y=-90511..-61552,z=18128..33690
on x=10275..31305,y=39082..63466,z=45940..64761
on x=-57089..-28333,y=-68991..-54293,z=-7378..9247
on x=13296..26507,y=65042..90163,z=-39000..-27713
on x=15813..22878,y=69886..78413,z=-14410..7687
on x=58231..78315,y=18635..32905,z=-31672..-14119
on x=-34956..-18259,y=-79028..-70337,z=-11930..18663
on x=-90084..-76831,y=13250..21736,z=-18867..3472
on x=-56082..-33479,y=-57290..-33911,z=52465..64326
on x=-62723..-37865,y=-25267..-20912,z=-58916..-44256
on x=66898..88064,y=4015..14580,z=-33039..311
on x=-71801..-62354,y=6666..9440,z=37006..50530
on x=-63453..-59021,y=-42664..-13653,z=-45070..-37190
on x=-74533..-60590,y=-26749..7121,z=-49557..-18702
on x=-49775..-34745,y=-15943..-8364,z=58179..78769
on x=-38060..-28655,y=-65417..-42912,z=51405..60880
on x=-22748..-4169,y=-53813..-51080,z=-70230..-55982
on x=24794..46665,y=-11120..9807,z=-77803..-55164
on x=22371..29378,y=-63444..-30430,z=-74456..-44570
on x=-39209..-23737,y=-40633..-8950,z=-79689..-62979
on x=36203..56006,y=-33182..-11145,z=-67872..-47221
on x=12794..38622,y=58481..85455,z=-29383..-9062
on x=27876..46870,y=-83809..-50484,z=-32030..-14076
on x=-24996..-8219,y=57538..81923,z=-32296..-10328
on x=34165..35575,y=-15459..-377,z=66664..72752
on x=26498..44674,y=-11566..17577,z=-93073..-71578
on x=-26080..-20684,y=52181..66557,z=-71137..-45445
on x=-10354..7475,y=35556..56791,z=-83521..-68883
on x=-58628..-21289,y=65595..84691,z=-18246..3200
on x=32546..58492,y=-66468..-50001,z=-20900..-2853
on x=-81288..-68309,y=-11581..-2535,z=2888..36868
on x=32093..56131,y=38665..60236,z=-55227..-21940
on x=-54668..-37185,y=-72050..-60653,z=-3123..9437
on x=-33387..-15776,y=72745..84680,z=13091..30512
on x=-11423..12594,y=-82823..-77340,z=11858..19615
on x=33829..57809,y=21199..51902,z=-61621..-44238
on x=-35918..-4410,y=-81437..-71910,z=-25639..-5003
on x=-20459..-4896,y=32442..52816,z=-76100..-57764
on x=40397..60460,y=9456..24597,z=-81022..-52134
on x=-43792..-15704,y=-52507..-29539,z=49303..70728
on x=-78157..-50166,y=-15970..-13267,z=23016..46675
on x=-19417..-3162,y=-74154..-52561,z=48175..68713
on x=-21081..-13461,y=-53644..-31773,z=50432..70696
on x=-87964..-63475,y=-6618..13052,z=-10704..4649
on x=48898..71449,y=33289..46376,z=6417..42172
on x=-48946..-32404,y=-3185..5567,z=-92264..-63452
on x=50220..55953,y=46788..57880,z=-43168..-26743
on x=-42287..-31123,y=13860..37069,z=-69581..-62005
on x=-24137..-5016,y=-64726..-56458,z=-56218..-49468
on x=7251..34054,y=-92457..-60273,z=-26849..4485
on x=-28906..6373,y=25679..45001,z=61780..67287
on x=-84964..-60107,y=-36001..-29586,z=-19406..13477
on x=-81567..-59076,y=3730..26895,z=-5219..14258
on x=67491..78633,y=-21285..-11441,z=19420..51394
on x=-45117..-14746,y=-90743..-65778,z=-10287..8914
on x=-31366..-3966,y=-77749..-41092,z=45088..70242
on x=50619..73318,y=-5294..8448,z=-63217..-34639
on x=-34740..-21354,y=-21679..-858,z=61423..78571
on x=32009..62092,y=-58351..-39669,z=-38942..-25985
on x=-58593..-50898,y=-57629..-40277,z=24583..37262
on x=-78815..-67819,y=-27651..-8006,z=26587..43037
on x=13775..44832,y=46839..74007,z=-59232..-42818
on x=-5040..28528,y=44212..58733,z=47163..61243
on x=-64472..-43749,y=-48930..-46864,z=-41829..-22667
on x=-60703..-33335,y=55439..74286,z=14908..24018
off x=68651..84088,y=13510..32601,z=13400..31414
off x=44945..55503,y=-75908..-55654,z=2548..26780
on x=-48409..-21902,y=-78149..-69423,z=1150..9183
on x=-74700..-37036,y=-59904..-35230,z=21327..42014
on x=-76096..-58124,y=-37232..-31103,z=28347..54754
on x=-82275..-50581,y=-26602..-4593,z=29124..49556
on x=51104..75955,y=-27064..-7930,z=22858..38278
on x=-42734..-20659,y=-86813..-57140,z=-35224..-14516
on x=11235..38291,y=-85272..-68814,z=12826..35834
on x=-51272..-27734,y=-75041..-49748,z=-14077..7179
on x=59045..69516,y=34418..62035,z=-7093..18145
on x=-72345..-55630,y=24276..46020,z=27205..50766
off x=-49931..-32155,y=7689..33637,z=-74351..-63289
off x=-8510..22684,y=31094..44949,z=-74909..-53371
on x=51772..86188,y=30228..50299,z=-10726..14676
on x=-20402..12803,y=-23042..-5359,z=-80898..-69502
off x=-2133..30131,y=-91444..-74442,z=-16792..2325
on x=3336..18818,y=-42806..-29413,z=-69030..-57255
off x=-76606..-46373,y=-16867..15496,z=45336..56309
on x=25627..53296,y=43809..54218,z=-57592..-41708
off x=39082..48853,y=-40516..-1920,z=-69781..-61103
on x=-1596..4768,y=-78873..-48532,z=-57658..-37960
on x=19855..54253,y=7953..35921,z=-78438..-51707
on x=-42499..-6173,y=-56976..-44197,z=-58648..-34444
off x=16998..41693,y=43792..77293,z=36623..53231
on x=-18389..-13744,y=-87490..-59529,z=7582..32501
on x=-46024..-15646,y=32755..59213,z=-75375..-41113
on x=37668..56302,y=25358..58064,z=-46532..-34425
off x=18006..29002,y=-74276..-68410,z=15948..28218
on x=30408..53437,y=-67456..-49134,z=-58301..-27005
off x=15504..50680,y=11564..18347,z=55375..90019
off x=35718..54603,y=-60266..-40495,z=21850..42644
off x=-77689..-55889,y=-8583..-3289,z=-43500..-28200
off x=-91215..-71561,y=-25348..6501,z=25095..40121
on x=-11654..5471,y=60015..96931,z=11292..35667
on x=39099..51342,y=-78388..-60247,z=-18935..4900
on x=-33158..-19805,y=37906..68966,z=-67972..-46236
on x=-56622..-42089,y=-61380..-46403,z=-2587..7482
on x=-53158..-32462,y=-3664..2632,z=60638..68305
on x=-34468..-33031,y=-61670..-43575,z=32039..60334
off x=19418..41601,y=-46101..-18712,z=-73764..-62656
off x=11064..24354,y=13620..37505,z=-87076..-60747
on x=-95501..-68895,y=-21722..-12134,z=-35084..-7027
off x=33454..49344,y=-37717..-26144,z=42015..66712
off x=-70594..-49187,y=-40243..-23603,z=34728..51343
on x=5223..9347,y=64432..89543,z=-21351..527
on x=25211..60000,y=45215..64193,z=-59426..-28050
on x=-80081..-53559,y=-27082..-13065,z=-57244..-37055
off x=-52574..-24670,y=27028..56893,z=49988..59090
off x=-88908..-66456,y=10146..22205,z=-5460..19360
on x=52528..69348,y=-63568..-33761,z=-55330..-21219
off x=43994..64086,y=-65227..-38418,z=-40540..-9429
off x=-58015..-50845,y=38572..50685,z=-52431..-21738
on x=43182..73963,y=39133..62135,z=14798..28170
on x=18522..47321,y=-27947..-1327,z=-82761..-60447
on x=-45401..-9869,y=-69669..-53195,z=37696..46204
off x=16099..38846,y=-61648..-40802,z=40716..42762
off x=30408..52051,y=16571..55583,z=54583..66828
off x=58947..77713,y=-7481..11596,z=-71402..-32827
off x=4706..25290,y=-68625..-46674,z=38114..51448
off x=-45729..-15885,y=1508..23539,z=-79577..-66039
on x=3773..15186,y=24664..49099,z=56279..71332
off x=-56800..-43068,y=7045..29789,z=-56103..-40585
off x=68420..92805,y=-27380..-7252,z=4251..28343
on x=918..8326,y=-73089..-56052,z=35102..65632
on x=-75444..-49958,y=-44277..-26944,z=-46866..-21612
on x=-53867..-19084,y=63531..77772,z=-13892..5052
off x=52471..69312,y=43873..59403,z=-3368..6024
on x=46125..71310,y=-26161..-14347,z=33855..63393
off x=-47671..-18509,y=-36211..-1978,z=58480..83121
off x=-41313..-30931,y=-29191..-16073,z=65326..71825
off x=66226..95789,y=-10635..3841,z=4414..15155
off x=20395..38656,y=11482..35560,z=-88203..-53679
off x=34973..68009,y=-20339..-4212,z=-63488..-40861
off x=23828..43686,y=-86729..-61517,z=9550..26595
on x=16055..41245,y=51071..74545,z=-25910..-17129
off x=-82085..-52618,y=20420..35011,z=-48048..-32868
off x=61992..83918,y=13342..34076,z=-14188..-7253
on x=67153..83364,y=-24915..-17282,z=-44530..-13789
off x=-45885..-27173,y=-73428..-61721,z=-41941..-24889
off x=11427..26528,y=64315..83604,z=8440..16037
on x=-65525..-50685,y=35449..60985,z=10689..32931
off x=42548..61270,y=-44168..-31535,z=48338..58768
on x=65616..85537,y=37977..50468,z=-29311..-1721
on x=-72324..-40922,y=-2833..25662,z=57077..61323
off x=-78098..-48199,y=-39017..-13683,z=-51202..-27792
on x=-64690..-43389,y=-62320..-40692,z=-9703..4307
on x=-68656..-55883,y=-69152..-50341,z=-20850..2404
off x=-4415..8747,y=-85707..-64992,z=-56988..-28086
on x=-82275..-48060,y=39016..61852,z=-24083..-11084
on x=-71366..-57716,y=32983..48987,z=1208..30800
on x=-18944..-1197,y=-35351..-12896,z=-81474..-73039
on x=41161..53770,y=44806..64335,z=11787..21926
off x=-15785..10149,y=50341..73297,z=34353..55286
on x=50942..73376,y=25424..49110,z=2879..32382
on x=-49447..-16377,y=40767..70620,z=44418..55644
off x=36330..61054,y=48983..72591,z=-3737..15873
on x=-87661..-61947,y=15156..39205,z=-3973..16751
off x=70974..87176,y=-29464..-23899,z=6641..14960
on x=33711..69193,y=-9947..18979,z=-70460..-59569
on x=58594..87392,y=8584..28015,z=-5515..7681
off x=-78973..-61659,y=-9855..9167,z=-34103..1216
on x=-64522..-60098,y=-31150..-13177,z=38862..56596
on x=-17116..-1603,y=-18822..5986,z=71711..87820
on x=-79009..-66641,y=-9144..13686,z=-59175..-26824
on x=-75647..-60647,y=-30711..-23301,z=28307..35714
off x=-30903..-3185,y=75765..76330,z=-34348..-16823
off x=-92225..-62389,y=-45647..-18958,z=-10497..18607
off x=73862..80183,y=-18631..7036,z=4690..26387
on x=-31363..-6655,y=55063..70569,z=-46216..-41771
on x=-35412..-14560,y=-89106..-71689,z=-32389..-1576
on x=-26994..6413,y=34315..63967,z=-69199..-57229
off x=-69619..-40120,y=-4886..19550,z=-59139..-47165
on x=-22369..-4199,y=-66253..-41220,z=-66456..-51409
off x=11627..33062,y=64913..94173,z=-1740..31268
off x=-32827..-15376,y=-5199..27012,z=70980..91964
on x=-18736..52,y=20668..28562,z=65109..93468
on x=-10665..21654,y=-94801..-67391,z=-7206..20213
off x=70951..87372,y=25912..28043,z=-5279..7184
off x=29631..54700,y=-80868..-59601,z=-1051..23681
off x=-6112..8588,y=-4434..11959,z=74017..83944
off x=45469..63328,y=43120..67100,z=-5150..-605
off x=-33830..-19775,y=31700..56831,z=55869..71704
on x=-43601..-9259,y=-94698..-61608,z=7689..27472
off x=64884..91356,y=-21802..8716,z=-26546..1897
off x=-4123..8330,y=-54900..-41954,z=-75057..-50683
on x=38475..58073,y=-17901..12765,z=-74342..-55399
on x=-78385..-67084,y=-20394..-16204,z=-15324..6559
on x=43728..64646,y=42055..80321,z=-2979..28514
off x=10458..29492,y=26096..48070,z=49660..76855
off x=-57423..-43220,y=-26888..953,z=-79113..-49668
off x=44593..63561,y=-67357..-44729,z=-18005..13149
off x=-51159..-36714,y=-10046..20891,z=-79588..-53015
on x=-25818..-9415,y=45406..72796,z=24216..51823
off x=59683..95481,y=-11121..11122,z=22669..44490
off x=50846..73959,y=4631..18694,z=23679..48637
off x=-37813..-14337,y=1358..27844,z=57041..87147
on x=69537..80328,y=-2660..25013,z=24684..49598
off x=-24682..-9351,y=-95581..-63831,z=-12442..9415
on x=-61308..-43817,y=16532..44644,z=-59766..-43623
off x=53887..83115,y=26661..45032,z=-49658..-17071
off x=63373..95214,y=5221..18157,z=-4495..8042
off x=-614..24373,y=-19367..-16556,z=65306..81698
on x=-23510..-13411,y=29623..54862,z=-69936..-45234
on x=49952..81523,y=-30327..-4768,z=38350..59500
on x=67016..86888,y=-10349..7606,z=-21372..17100
on x=18528..25834,y=63065..84831,z=-3971..-413
on x=-31313..-11462,y=64332..73986,z=7246..37943
on x=54950..77043,y=-15029..5360,z=-41191..-27014
on x=-6248..22640,y=-39483..-23061,z=-80170..-67389
off x=-55074..-23324,y=-22189..-11684,z=-78421..-58699
on x=3088..26891,y=49197..70250,z=34732..68236
on x=-30783..-14509,y=-21389..-17157,z=63259..81382
off x=-43587..-39839,y=50093..71966,z=21871..42148
on x=55068..85274,y=27023..63530,z=-6831..2812
on x=25623..47871,y=-62440..-51683,z=-60205..-47277
off x=-4763..3639,y=-85396..-66797,z=-5572..8401
off x=15843..40167,y=46410..76537,z=-47432..-33853
on x=19663..24597,y=25184..44082,z=-72071..-53932
off x=-8388..19469,y=9791..18671,z=-88375..-68606
on x=16872..36706,y=62471..76432,z=9928..24338
off x=53290..79671,y=-3671..23585,z=-63958..-35534
on x=-41539..-33079,y=60730..70296,z=-43350..-17356
on x=18364..36657,y=42839..54826,z=49740..79116
on x=-31964..-16566,y=36262..54335,z=-76451..-59881
off x=-66042..-49675,y=-72580..-44670,z=-21981..-6160
off x=-40065..-11952,y=31927..51715,z=-81694..-56155
off x=-29614..-8048,y=-31409..-10690,z=69744..91736
off x=-51414..-46475,y=42970..66456,z=-25897..-14211
on x=15400..38286,y=59936..76337,z=-39936..-26534
off x=71195..87162,y=-11368..8160,z=6907..25242
off x=15677..45526,y=-7128..10972,z=-79544..-64003
on x=-16058..2914,y=-84708..-61442,z=3756..19077
off x=-16588..5811,y=-83585..-77973,z=-215..7116
on x=-2894..21445,y=37822..63040,z=-66489..-45009
on x=-68345..-48775,y=-4769..14641,z=-74195..-45610
on x=-77037..-55993,y=-13142..-2787,z=-42975..-16217
off x=45155..52975,y=38066..39648,z=39791..66109
on x=-45655..-34102,y=-56939..-31919,z=54257..60864
on x=-33847..-24122,y=22779..39275,z=-79010..-58775
off x=57216..72807,y=14759..36448,z=38520..53035
on x=62613..77402,y=15263..30483,z=-41149..-25222
on x=-37595..-11512,y=66136..83047,z=-26233..-1034
on x=-63807..-37529,y=-5166..20896,z=-61520..-42746
on x=31596..59938,y=-9901..1701,z=-79965..-47280
off x=47396..71950,y=27223..48817,z=-36085..-25853
off x=43777..62791,y=41114..64607,z=-37444..-23424
on x=-78873..-64987,y=-4092..-158,z=-54296..-28627
on x=16229..32781,y=-74497..-63702,z=-37335..-20248
off x=-50740..-23845,y=-5593..7834,z=47979..87311
on x=23494..36581,y=56314..70446,z=7047..24628
on x=-29206..-16999,y=5339..29578,z=-86705..-61941
off x=66463..71111,y=32884..48533,z=-22717..4084
on x=59023..81449,y=-25219..-4853,z=34974..45799
off x=-68434..-65642,y=-13730..11847,z=-62859..-34106
on x=-61835..-38728,y=-46380..-26079,z=-66066..-37359
off x=49500..72821,y=20130..41680,z=52398..70343
on x=50802..73633,y=46015..66877,z=2232..24814
off x=22234..39735,y=-75338..-64935,z=-36805..-19657
off x=38882..54152,y=50155..77491,z=-3017..23479
